recipe_name,cuisine_type,meal_type,difficulty_level,prep_time_minutes,cook_time_minutes,servings,main_ingredients,all_ingredients,dietary_restrictions,instructions,nutritional_info
French Fish Bowl,French,Lunch,Hard,24,165,2,"Fish, Shrimp, Eggs","Fish, Shrimp, Eggs, Yogurt, Chili, Soy Sauce, Olive Oil","Kosher, Contains shellfish, Vegan","Prepare Fish, Shrimp, Eggs. Cook with Fish, Shrimp, Eggs, Yogurt, Chili, Soy Sauce, Olive Oil. Season and serve.","Calories: 315, Protein: 19g, Carbs: 68g, Fat: 22g"
African Beef Stir-Fry,African,Breakfast,Medium,84,43,8,"Beef, Rice, Tomatoes","Beef, Rice, Tomatoes, Cream, Herbs, Soy Sauce, Spices",Vegan,"Prepare Beef, Rice, Tomatoes. Cook with Beef, Rice, Tomatoes, Cream, Herbs, Soy Sauce, Spices. Season and serve.","Calories: 665, Protein: 16g, Carbs: 16g, Fat: 13g"
Mediterranean Lentils Bake,Mediterranean,Desserts,Medium,82,24,7,"Lentils, Rice, Fish","Lentils, Rice, Fish, Soy Sauce, Chili, Cream, Olive Oil",Contains nuts,"Prepare Lentils, Rice, Fish. Cook with Lentils, Rice, Fish, Soy Sauce, Chili, Cream, Olive Oil. Season and serve.","Calories: 266, Protein: 21g, Carbs: 77g, Fat: 29g"
Thai Lentils Tom Kha,Thai,Desserts,Easy,72,120,6,"Lentils, Pasta, Shrimp","Lentils, Pasta, Shrimp, Flour, Cream, Herbs, Garlic",Gluten-free,"Prepare Lentils, Pasta, Shrimp. Cook with Lentils, Pasta, Shrimp, Flour, Cream, Herbs, Garlic. Season and serve.","Calories: 225, Protein: 17g, Carbs: 61g, Fat: 17g"
French Pasta Pilaf,French,Lunch,Hard,29,120,4,"Pasta, Chicken, Beef","Pasta, Chicken, Beef, Olive Oil, Honey, Milk, Herbs","Vegetarian, Contains dairy, Halal","Prepare Pasta, Chicken, Beef. Cook with Pasta, Chicken, Beef, Olive Oil, Honey, Milk, Herbs. Season and serve.","Calories: 529, Protein: 7g, Carbs: 10g, Fat: 8g"
Vietnamese Chicken Banh Mi,Vietnamese,Snacks,Easy,70,1,1,"Chicken, Shrimp, Pork","Chicken, Shrimp, Pork, Herbs, Yogurt, Milk, Olive Oil","Vegetarian, Gluten-free","Prepare Chicken, Shrimp, Pork. Cook with Chicken, Shrimp, Pork, Herbs, Yogurt, Milk, Olive Oil. Season and serve.","Calories: 395, Protein: 11g, Carbs: 45g, Fat: 18g"
Middle Eastern Tomatoes Cookies,Middle Eastern,Desserts,Easy,82,114,1,"Tomatoes, Tofu, Rice","Tomatoes, Tofu, Rice, Onion, Milk, Cream, Garlic",Low-carb,"Prepare Tomatoes, Tofu, Rice. Cook with Tomatoes, Tofu, Rice, Onion, Milk, Cream, Garlic. Season and serve.","Calories: 586, Protein: 18g, Carbs: 28g, Fat: 15g"
American Mushrooms Cookies,American,Desserts,Easy,42,106,8,"Mushrooms, Tomatoes, Tofu","Mushrooms, Tomatoes, Tofu, Soy Sauce, Herbs, Cream, Onion",Vegan,"Prepare Mushrooms, Tomatoes, Tofu. Cook with Mushrooms, Tomatoes, Tofu, Soy Sauce, Herbs, Cream, Onion. Season and serve.","Calories: 280, Protein: 5g, Carbs: 37g, Fat: 20g"
Japanese Eggs Power Bowl,Japanese,Lunch,Medium,50,36,2,"Eggs, Tomatoes, Pasta","Eggs, Tomatoes, Pasta, Soy Sauce, Sugar, Yogurt, Herbs","Vegetarian, Contains shellfish, Paleo","Prepare Eggs, Tomatoes, Pasta. Cook with Eggs, Tomatoes, Pasta, Soy Sauce, Sugar, Yogurt, Herbs. Season and serve.","Calories: 529, Protein: 8g, Carbs: 58g, Fat: 10g"
Indian Tofu Cookies,Indian,Desserts,Easy,76,131,8,"Tofu, Chicken, Potatoes","Tofu, Chicken, Potatoes, Sugar, Butter, Herbs, Honey","Vegetarian, Paleo","Prepare Tofu, Chicken, Potatoes. Cook with Tofu, Chicken, Potatoes, Sugar, Butter, Herbs, Honey. Season and serve.","Calories: 529, Protein: 21g, Carbs: 57g, Fat: 5g"
Thai Potatoes Crumble,Thai,Desserts,Medium,60,119,5,"Potatoes, Tofu, Fish","Potatoes, Tofu, Fish, Flour, Garlic, Milk, Yogurt",Kosher,"Prepare Potatoes, Tofu, Fish. Cook with Potatoes, Tofu, Fish, Flour, Garlic, Milk, Yogurt. Season and serve.","Calories: 312, Protein: 20g, Carbs: 36g, Fat: 29g"
Chinese Lentils Skillet,Chinese,Snacks,Hard,69,33,7,"Lentils, Rice, Pork","Lentils, Rice, Pork, Cream, Milk, Butter, Onion","Contains dairy, Contains shellfish","Prepare Lentils, Rice, Pork. Cook with Lentils, Rice, Pork, Cream, Milk, Butter, Onion. Season and serve.","Calories: 350, Protein: 7g, Carbs: 43g, Fat: 27g"
American Rice Mini Skewers,American,Snacks,Hard,71,114,1,"Rice, Spinach, Pork","Rice, Spinach, Pork, Flour, Honey, Milk, Chili","Contains shellfish, Vegetarian, Vegan","Prepare Rice, Spinach, Pork. Cook with Rice, Spinach, Pork, Flour, Honey, Milk, Chili. Season and serve.","Calories: 510, Protein: 11g, Carbs: 52g, Fat: 6g"
American Pork Pot Pie,American,Dinner,Hard,63,44,6,"Pork, Tofu, Tomatoes","Pork, Tofu, Tomatoes, Soy Sauce, Milk, Yogurt, Flour",Contains nuts,"Prepare Pork, Tofu, Tomatoes. Cook with Pork, Tofu, Tomatoes, Soy Sauce, Milk, Yogurt, Flour. Season and serve.","Calories: 639, Protein: 36g, Carbs: 35g, Fat: 25g"
Mediterranean Rice Cheesecake,Mediterranean,Desserts,Medium,28,117,3,"Rice, Pork, Beef","Rice, Pork, Beef, Cream, Soy Sauce, Sugar, Chili","Halal, Kosher, Contains shellfish","Prepare Rice, Pork, Beef. Cook with Rice, Pork, Beef, Cream, Soy Sauce, Sugar, Chili. Season and serve.","Calories: 675, Protein: 39g, Carbs: 72g, Fat: 12g"
American Lentils Salad,American,Desserts,Medium,41,46,7,"Lentils, Chicken, Beef","Lentils, Chicken, Beef, Onion, Garlic, Chili, Honey","Vegan, Contains shellfish, Paleo","Prepare Lentils, Chicken, Beef. Cook with Lentils, Chicken, Beef, Onion, Garlic, Chili, Honey. Season and serve.","Calories: 632, Protein: 27g, Carbs: 27g, Fat: 5g"
African Eggs Pilaf,African,Snacks,Hard,46,173,6,"Eggs, Lentils, Chicken","Eggs, Lentils, Chicken, Honey, Yogurt, Olive Oil, Sugar","Contains nuts, Contains shellfish","Prepare Eggs, Lentils, Chicken. Cook with Eggs, Lentils, Chicken, Honey, Yogurt, Olive Oil, Sugar. Season and serve.","Calories: 287, Protein: 10g, Carbs: 58g, Fat: 19g"
Vietnamese Tofu Roast,Vietnamese,Lunch,Easy,42,163,5,"Tofu, Lentils, Pork","Tofu, Lentils, Pork, Cream, Honey, Yogurt, Soy Sauce","Gluten-free, Contains nuts, Contains shellfish","Prepare Tofu, Lentils, Pork. Cook with Tofu, Lentils, Pork, Cream, Honey, Yogurt, Soy Sauce. Season and serve.","Calories: 594, Protein: 40g, Carbs: 17g, Fat: 19g"
Chinese Eggs Dip,Chinese,Snacks,Medium,81,16,3,"Eggs, Lentils, Tofu","Eggs, Lentils, Tofu, Honey, Onion, Chili, Spices",Halal,"Prepare Eggs, Lentils, Tofu. Cook with Eggs, Lentils, Tofu, Honey, Onion, Chili, Spices. Season and serve.","Calories: 293, Protein: 24g, Carbs: 39g, Fat: 28g"
Mediterranean Lentils Bowl,Mediterranean,Dinner,Easy,45,79,7,"Lentils, Cheese, Chicken","Lentils, Cheese, Chicken, Sugar, Herbs, Yogurt, Onion","Paleo, Vegan, Low-carb","Prepare Lentils, Cheese, Chicken. Cook with Lentils, Cheese, Chicken, Sugar, Herbs, Yogurt, Onion. Season and serve.","Calories: 273, Protein: 17g, Carbs: 68g, Fat: 23g"
American Potatoes Pot Pie,American,Snacks,Medium,70,159,6,"Potatoes, Beef, Chicken","Potatoes, Beef, Chicken, Honey, Olive Oil, Spices, Yogurt","Low-carb, Kosher","Prepare Potatoes, Beef, Chicken. Cook with Potatoes, Beef, Chicken, Honey, Olive Oil, Spices, Yogurt. Season and serve.","Calories: 334, Protein: 7g, Carbs: 15g, Fat: 28g"
Mediterranean Shrimp Pilaf,Mediterranean,Snacks,Easy,8,40,1,"Shrimp, Spinach, Chicken","Shrimp, Spinach, Chicken, Chili, Milk, Flour, Onion","Contains nuts, Vegetarian","Prepare Shrimp, Spinach, Chicken. Cook with Shrimp, Spinach, Chicken, Chili, Milk, Flour, Onion. Season and serve.","Calories: 237, Protein: 33g, Carbs: 62g, Fat: 13g"
Mediterranean Tomatoes Sandwich,Mediterranean,Lunch,Easy,88,66,1,"Tomatoes, Chicken, Eggs","Tomatoes, Chicken, Eggs, Olive Oil, Sugar, Flour, Soy Sauce","Gluten-free, Contains nuts","Prepare Tomatoes, Chicken, Eggs. Cook with Tomatoes, Chicken, Eggs, Olive Oil, Sugar, Flour, Soy Sauce. Season and serve.","Calories: 249, Protein: 32g, Carbs: 41g, Fat: 29g"
Mediterranean Pork Skewers,Mediterranean,Snacks,Medium,14,44,7,"Pork, Beef, Eggs","Pork, Beef, Eggs, Honey, Butter, Flour, Yogurt","Gluten-free, Contains nuts, Kosher","Prepare Pork, Beef, Eggs. Cook with Pork, Beef, Eggs, Honey, Butter, Flour, Yogurt. Season and serve.","Calories: 251, Protein: 37g, Carbs: 43g, Fat: 30g"
African Beef Roast,African,Lunch,Medium,54,47,4,"Beef, Cheese, Eggs","Beef, Cheese, Eggs, Garlic, Cream, Butter, Flour","Vegan, Kosher","Prepare Beef, Cheese, Eggs. Cook with Beef, Cheese, Eggs, Garlic, Cream, Butter, Flour. Season and serve.","Calories: 664, Protein: 27g, Carbs: 77g, Fat: 16g"
Middle Eastern Fish Bake,Middle Eastern,Lunch,Medium,57,39,4,"Fish, Eggs, Pasta","Fish, Eggs, Pasta, Butter, Onion, Cream, Olive Oil",Vegan,"Prepare Fish, Eggs, Pasta. Cook with Fish, Eggs, Pasta, Butter, Onion, Cream, Olive Oil. Season and serve.","Calories: 422, Protein: 11g, Carbs: 77g, Fat: 26g"
Korean Mushrooms Casserole,Korean,Lunch,Medium,88,68,3,"Mushrooms, Potatoes, Tomatoes","Mushrooms, Potatoes, Tomatoes, Cream, Olive Oil, Butter, Yogurt","Low-carb, Gluten-free, Vegetarian","Prepare Mushrooms, Potatoes, Tomatoes. Cook with Mushrooms, Potatoes, Tomatoes, Cream, Olive Oil, Butter, Yogurt. Season and serve.","Calories: 480, Protein: 14g, Carbs: 35g, Fat: 20g"
French Spinach Provençal Stew,French,Dinner,Medium,22,44,5,"Spinach, Rice, Fish","Spinach, Rice, Fish, Olive Oil, Soy Sauce, Butter, Honey","Vegetarian, Low-carb","Prepare Spinach, Rice, Fish. Cook with Spinach, Rice, Fish, Olive Oil, Soy Sauce, Butter, Honey. Season and serve.","Calories: 395, Protein: 32g, Carbs: 51g, Fat: 15g"
African Rice Stew,African,Breakfast,Medium,66,169,3,"Rice, Chicken, Pasta","Rice, Chicken, Pasta, Spices, Milk, Soy Sauce, Onion","Gluten-free, Paleo, Low-carb","Prepare Rice, Chicken, Pasta. Cook with Rice, Chicken, Pasta, Spices, Milk, Soy Sauce, Onion. Season and serve.","Calories: 319, Protein: 25g, Carbs: 76g, Fat: 13g"
French Pork Skillet,French,Dinner,Medium,87,55,4,"Pork, Tomatoes, Chicken","Pork, Tomatoes, Chicken, Soy Sauce, Chili, Garlic, Flour","Kosher, Vegan","Prepare Pork, Tomatoes, Chicken. Cook with Pork, Tomatoes, Chicken, Soy Sauce, Chili, Garlic, Flour. Season and serve.","Calories: 382, Protein: 25g, Carbs: 50g, Fat: 13g"
American Eggs Roast,American,Dinner,Hard,53,128,6,"Eggs, Rice, Mushrooms","Eggs, Rice, Mushrooms, Milk, Garlic, Flour, Herbs",Low-carb,"Prepare Eggs, Rice, Mushrooms. Cook with Eggs, Rice, Mushrooms, Milk, Garlic, Flour, Herbs. Season and serve.","Calories: 585, Protein: 19g, Carbs: 12g, Fat: 10g"
Vietnamese Eggs Stew,Vietnamese,Dinner,Medium,15,147,2,"Eggs, Mushrooms, Pork","Eggs, Mushrooms, Pork, Garlic, Herbs, Olive Oil, Flour","Contains dairy, Vegan","Prepare Eggs, Mushrooms, Pork. Cook with Eggs, Mushrooms, Pork, Garlic, Herbs, Olive Oil, Flour. Season and serve.","Calories: 609, Protein: 11g, Carbs: 56g, Fat: 8g"
Korean Mushrooms Salad,Korean,Breakfast,Easy,21,33,4,"Mushrooms, Potatoes, Fish","Mushrooms, Potatoes, Fish, Chili, Onion, Garlic, Butter","Vegetarian, Contains nuts","Prepare Mushrooms, Potatoes, Fish. Cook with Mushrooms, Potatoes, Fish, Chili, Onion, Garlic, Butter. Season and serve.","Calories: 217, Protein: 18g, Carbs: 73g, Fat: 5g"
Vietnamese Potatoes Overnight Oats,Vietnamese,Breakfast,Easy,35,159,6,"Potatoes, Rice, Lentils","Potatoes, Rice, Lentils, Soy Sauce, Honey, Spices, Cream","Gluten-free, Contains nuts, Paleo","Prepare Potatoes, Rice, Lentils. Cook with Potatoes, Rice, Lentils, Soy Sauce, Honey, Spices, Cream. Season and serve.","Calories: 460, Protein: 18g, Carbs: 45g, Fat: 21g"
Indian Tomatoes Bake,Indian,Breakfast,Medium,42,75,7,"Tomatoes, Spinach, Eggs","Tomatoes, Spinach, Eggs, Sugar, Olive Oil, Soy Sauce, Spices","Contains dairy, Vegan","Prepare Tomatoes, Spinach, Eggs. Cook with Tomatoes, Spinach, Eggs, Sugar, Olive Oil, Soy Sauce, Spices. Season and serve.","Calories: 210, Protein: 35g, Carbs: 71g, Fat: 18g"
French Rice Stew,French,Dinner,Easy,74,156,1,"Rice, Cheese, Beef","Rice, Cheese, Beef, Honey, Olive Oil, Garlic, Soy Sauce",Vegan,"Prepare Rice, Cheese, Beef. Cook with Rice, Cheese, Beef, Honey, Olive Oil, Garlic, Soy Sauce. Season and serve.","Calories: 584, Protein: 32g, Carbs: 57g, Fat: 27g"
Middle Eastern Eggs Mezze Bowl,Middle Eastern,Desserts,Easy,25,83,4,"Eggs, Pasta, Tofu","Eggs, Pasta, Tofu, Olive Oil, Flour, Cream, Onion","Vegetarian, Contains nuts","Prepare Eggs, Pasta, Tofu. Cook with Eggs, Pasta, Tofu, Olive Oil, Flour, Cream, Onion. Season and serve.","Calories: 478, Protein: 25g, Carbs: 51g, Fat: 20g"
Korean Tofu Bulgogi,Korean,Desserts,Easy,71,65,4,"Tofu, Pork, Tomatoes","Tofu, Pork, Tomatoes, Onion, Olive Oil, Chili, Cream","Vegan, Vegetarian","Prepare Tofu, Pork, Tomatoes. Cook with Tofu, Pork, Tomatoes, Onion, Olive Oil, Chili, Cream. Season and serve.","Calories: 599, Protein: 27g, Carbs: 42g, Fat: 22g"
American Pork Stir-Fry,American,Lunch,Medium,35,60,2,"Pork, Mushrooms, Lentils","Pork, Mushrooms, Lentils, Butter, Flour, Olive Oil, Yogurt","Contains shellfish, Gluten-free","Prepare Pork, Mushrooms, Lentils. Cook with Pork, Mushrooms, Lentils, Butter, Flour, Olive Oil, Yogurt. Season and serve.","Calories: 490, Protein: 5g, Carbs: 78g, Fat: 23g"
Italian Spinach Bake,Italian,Desserts,Easy,56,22,6,"Spinach, Chicken, Potatoes","Spinach, Chicken, Potatoes, Yogurt, Honey, Milk, Sugar",Vegan,"Prepare Spinach, Chicken, Potatoes. Cook with Spinach, Chicken, Potatoes, Yogurt, Honey, Milk, Sugar. Season and serve.","Calories: 558, Protein: 16g, Carbs: 80g, Fat: 5g"
American Lentils Roast,American,Lunch,Hard,41,99,2,"Lentils, Tomatoes, Pork","Lentils, Tomatoes, Pork, Yogurt, Butter, Flour, Cream","Contains dairy, Paleo, Vegetarian","Prepare Lentils, Tomatoes, Pork. Cook with Lentils, Tomatoes, Pork, Yogurt, Butter, Flour, Cream. Season and serve.","Calories: 495, Protein: 13g, Carbs: 39g, Fat: 20g"
Japanese Pasta Casserole,Japanese,Lunch,Medium,23,68,4,"Pasta, Spinach, Cheese","Pasta, Spinach, Cheese, Yogurt, Sugar, Butter, Herbs","Vegan, Low-carb","Prepare Pasta, Spinach, Cheese. Cook with Pasta, Spinach, Cheese, Yogurt, Sugar, Butter, Herbs. Season and serve.","Calories: 481, Protein: 7g, Carbs: 74g, Fat: 15g"
Italian Lentils Skillet,Italian,Dinner,Medium,43,3,8,"Lentils, Beef, Shrimp","Lentils, Beef, Shrimp, Flour, Honey, Spices, Olive Oil","Gluten-free, Contains nuts","Prepare Lentils, Beef, Shrimp. Cook with Lentils, Beef, Shrimp, Flour, Honey, Spices, Olive Oil. Season and serve.","Calories: 569, Protein: 19g, Carbs: 49g, Fat: 24g"
Middle Eastern Rice Tagine,Middle Eastern,Desserts,Medium,34,112,7,"Rice, Beef, Pasta","Rice, Beef, Pasta, Herbs, Garlic, Honey, Onion","Contains dairy, Low-carb","Prepare Rice, Beef, Pasta. Cook with Rice, Beef, Pasta, Herbs, Garlic, Honey, Onion. Season and serve.","Calories: 685, Protein: 32g, Carbs: 55g, Fat: 14g"
Indian Pasta Bake,Indian,Breakfast,Hard,50,34,4,"Pasta, Fish, Pork","Pasta, Fish, Pork, Spices, Soy Sauce, Honey, Cream","Gluten-free, Contains dairy","Prepare Pasta, Fish, Pork. Cook with Pasta, Fish, Pork, Spices, Soy Sauce, Honey, Cream. Season and serve.","Calories: 420, Protein: 9g, Carbs: 75g, Fat: 24g"
French Beef Casserole,French,Desserts,Hard,39,4,2,"Beef, Pork, Tomatoes","Beef, Pork, Tomatoes, Olive Oil, Herbs, Garlic, Honey","Low-carb, Vegan","Prepare Beef, Pork, Tomatoes. Cook with Beef, Pork, Tomatoes, Olive Oil, Herbs, Garlic, Honey. Season and serve.","Calories: 319, Protein: 21g, Carbs: 26g, Fat: 10g"
Mexican Chicken Casserole,Mexican,Lunch,Hard,33,141,8,"Chicken, Spinach, Tofu","Chicken, Spinach, Tofu, Sugar, Yogurt, Spices, Garlic","Paleo, Contains dairy","Prepare Chicken, Spinach, Tofu. Cook with Chicken, Spinach, Tofu, Sugar, Yogurt, Spices, Garlic. Season and serve.","Calories: 633, Protein: 33g, Carbs: 75g, Fat: 30g"
Japanese Tofu Ramen,Japanese,Lunch,Easy,58,171,8,"Tofu, Mushrooms, Eggs","Tofu, Mushrooms, Eggs, Sugar, Flour, Soy Sauce, Honey",Contains nuts,"Prepare Tofu, Mushrooms, Eggs. Cook with Tofu, Mushrooms, Eggs, Sugar, Flour, Soy Sauce, Honey. Season and serve.","Calories: 527, Protein: 15g, Carbs: 43g, Fat: 7g"
French Spinach Mini Skewers,French,Snacks,Medium,50,49,1,"Spinach, Pasta, Tofu","Spinach, Pasta, Tofu, Yogurt, Herbs, Honey, Flour","Vegan, Contains shellfish, Halal","Prepare Spinach, Pasta, Tofu. Cook with Spinach, Pasta, Tofu, Yogurt, Herbs, Honey, Flour. Season and serve.","Calories: 480, Protein: 30g, Carbs: 13g, Fat: 7g"
Chinese Pasta Mini Skewers,Chinese,Snacks,Easy,12,119,2,"Pasta, Lentils, Potatoes","Pasta, Lentils, Potatoes, Soy Sauce, Chili, Flour, Garlic",Gluten-free,"Prepare Pasta, Lentils, Potatoes. Cook with Pasta, Lentils, Potatoes, Soy Sauce, Chili, Flour, Garlic. Season and serve.","Calories: 203, Protein: 14g, Carbs: 72g, Fat: 16g"
Chinese Chicken Hot Pot,Chinese,Lunch,Medium,23,142,2,"Chicken, Shrimp, Beef","Chicken, Shrimp, Beef, Honey, Herbs, Garlic, Chili","Vegetarian, Kosher, Contains shellfish","Prepare Chicken, Shrimp, Beef. Cook with Chicken, Shrimp, Beef, Honey, Herbs, Garlic, Chili. Season and serve.","Calories: 685, Protein: 36g, Carbs: 18g, Fat: 6g"
Italian Tomatoes Pilaf,Italian,Desserts,Hard,80,37,3,"Tomatoes, Cheese, Rice","Tomatoes, Cheese, Rice, Honey, Cream, Butter, Olive Oil","Contains dairy, Gluten-free","Prepare Tomatoes, Cheese, Rice. Cook with Tomatoes, Cheese, Rice, Honey, Cream, Butter, Olive Oil. Season and serve.","Calories: 412, Protein: 7g, Carbs: 38g, Fat: 7g"
Mediterranean Tomatoes Toast,Mediterranean,Snacks,Easy,36,117,4,"Tomatoes, Potatoes, Spinach","Tomatoes, Potatoes, Spinach, Herbs, Butter, Onion, Spices",Vegetarian,"Prepare Tomatoes, Potatoes, Spinach. Cook with Tomatoes, Potatoes, Spinach, Herbs, Butter, Onion, Spices. Season and serve.","Calories: 351, Protein: 40g, Carbs: 41g, Fat: 23g"
Mediterranean Pork Mezze Bowl,Mediterranean,Desserts,Easy,7,133,7,"Pork, Potatoes, Chicken","Pork, Potatoes, Chicken, Yogurt, Olive Oil, Butter, Sugar",Gluten-free,"Prepare Pork, Potatoes, Chicken. Cook with Pork, Potatoes, Chicken, Yogurt, Olive Oil, Butter, Sugar. Season and serve.","Calories: 547, Protein: 20g, Carbs: 34g, Fat: 6g"
African Tofu Parfait,African,Breakfast,Hard,82,14,5,"Tofu, Shrimp, Rice","Tofu, Shrimp, Rice, Butter, Herbs, Soy Sauce, Onion","Contains nuts, Paleo","Prepare Tofu, Shrimp, Rice. Cook with Tofu, Shrimp, Rice, Butter, Herbs, Soy Sauce, Onion. Season and serve.","Calories: 440, Protein: 23g, Carbs: 24g, Fat: 17g"
Indian Tomatoes Scramble,Indian,Breakfast,Easy,50,80,6,"Tomatoes, Chicken, Cheese","Tomatoes, Chicken, Cheese, Milk, Yogurt, Onion, Garlic","Contains shellfish, Contains dairy, Low-carb","Prepare Tomatoes, Chicken, Cheese. Cook with Tomatoes, Chicken, Cheese, Milk, Yogurt, Onion, Garlic. Season and serve.","Calories: 390, Protein: 35g, Carbs: 43g, Fat: 22g"
Chinese Pasta Breakfast Bowl,Chinese,Breakfast,Easy,56,27,6,"Pasta, Potatoes, Rice","Pasta, Potatoes, Rice, Spices, Olive Oil, Onion, Garlic",Gluten-free,"Prepare Pasta, Potatoes, Rice. Cook with Pasta, Potatoes, Rice, Spices, Olive Oil, Onion, Garlic. Season and serve.","Calories: 571, Protein: 11g, Carbs: 21g, Fat: 16g"
Italian Rice Salad,Italian,Desserts,Medium,53,170,3,"Rice, Pork, Mushrooms","Rice, Pork, Mushrooms, Olive Oil, Chili, Onion, Yogurt",Low-carb,"Prepare Rice, Pork, Mushrooms. Cook with Rice, Pork, Mushrooms, Olive Oil, Chili, Onion, Yogurt. Season and serve.","Calories: 428, Protein: 9g, Carbs: 35g, Fat: 14g"
Spanish Fish Fabada,Spanish,Lunch,Medium,47,123,5,"Fish, Beef, Tofu","Fish, Beef, Tofu, Chili, Yogurt, Flour, Herbs",Low-carb,"Prepare Fish, Beef, Tofu. Cook with Fish, Beef, Tofu, Chili, Yogurt, Flour, Herbs. Season and serve.","Calories: 292, Protein: 16g, Carbs: 25g, Fat: 25g"
American Lentils Pot Pie,American,Desserts,Hard,85,96,2,"Lentils, Eggs, Shrimp","Lentils, Eggs, Shrimp, Garlic, Soy Sauce, Flour, Chili","Halal, Vegetarian, Contains dairy","Prepare Lentils, Eggs, Shrimp. Cook with Lentils, Eggs, Shrimp, Garlic, Soy Sauce, Flour, Chili. Season and serve.","Calories: 668, Protein: 38g, Carbs: 64g, Fat: 25g"
Korean Spinach Bake,Korean,Snacks,Hard,33,170,3,"Spinach, Pork, Fish","Spinach, Pork, Fish, Chili, Cream, Soy Sauce, Butter",Gluten-free,"Prepare Spinach, Pork, Fish. Cook with Spinach, Pork, Fish, Chili, Cream, Soy Sauce, Butter. Season and serve.","Calories: 246, Protein: 28g, Carbs: 45g, Fat: 14g"
Spanish Lentils & Pasta Salad,Spanish,Snacks,Easy,70,177,7,"Lentils, Pasta, Tomatoes","Lentils, Pasta, Tomatoes, Butter, Milk, Soy Sauce, Honey","Kosher, Vegetarian, Contains dairy","Prepare Lentils, Pasta, Tomatoes. Cook with Lentils, Pasta, Tomatoes, Butter, Milk, Soy Sauce, Honey. Season and serve.","Calories: 457, Protein: 25g, Carbs: 35g, Fat: 9g"
Mexican Lentils Skillet,Mexican,Lunch,Medium,90,134,1,"Lentils, Chicken, Cheese","Lentils, Chicken, Cheese, Milk, Sugar, Cream, Spices","Vegetarian, Gluten-free","Prepare Lentils, Chicken, Cheese. Cook with Lentils, Chicken, Cheese, Milk, Sugar, Cream, Spices. Season and serve.","Calories: 680, Protein: 19g, Carbs: 71g, Fat: 20g"
Mediterranean Chicken Roast,Mediterranean,Breakfast,Medium,38,156,2,"Chicken, Rice, Shrimp","Chicken, Rice, Shrimp, Olive Oil, Spices, Soy Sauce, Flour","Vegetarian, Contains dairy","Prepare Chicken, Rice, Shrimp. Cook with Chicken, Rice, Shrimp, Olive Oil, Spices, Soy Sauce, Flour. Season and serve.","Calories: 205, Protein: 33g, Carbs: 48g, Fat: 11g"
Middle Eastern Spinach Pilaf,Middle Eastern,Dinner,Easy,67,180,5,"Spinach, Eggs, Shrimp","Spinach, Eggs, Shrimp, Sugar, Chili, Onion, Flour","Gluten-free, Halal","Prepare Spinach, Eggs, Shrimp. Cook with Spinach, Eggs, Shrimp, Sugar, Chili, Onion, Flour. Season and serve.","Calories: 659, Protein: 10g, Carbs: 28g, Fat: 18g"
Mexican Cheese Soup,Mexican,Breakfast,Easy,20,130,4,"Cheese, Eggs, Shrimp","Cheese, Eggs, Shrimp, Soy Sauce, Honey, Milk, Herbs","Low-carb, Paleo, Contains nuts","Prepare Cheese, Eggs, Shrimp. Cook with Cheese, Eggs, Shrimp, Soy Sauce, Honey, Milk, Herbs. Season and serve.","Calories: 323, Protein: 40g, Carbs: 66g, Fat: 13g"
Indian Tofu Bowl,Indian,Snacks,Easy,35,171,7,"Tofu, Beef, Shrimp","Tofu, Beef, Shrimp, Olive Oil, Cream, Honey, Soy Sauce",Contains shellfish,"Prepare Tofu, Beef, Shrimp. Cook with Tofu, Beef, Shrimp, Olive Oil, Cream, Honey, Soy Sauce. Season and serve.","Calories: 513, Protein: 15g, Carbs: 32g, Fat: 16g"
Mexican Cheese Stir-Fry,Mexican,Breakfast,Easy,18,45,5,"Cheese, Shrimp, Spinach","Cheese, Shrimp, Spinach, Spices, Milk, Honey, Herbs","Halal, Kosher, Contains shellfish","Prepare Cheese, Shrimp, Spinach. Cook with Cheese, Shrimp, Spinach, Spices, Milk, Honey, Herbs. Season and serve.","Calories: 207, Protein: 34g, Carbs: 14g, Fat: 27g"
Chinese Fish Soup,Chinese,Lunch,Medium,39,28,3,"Fish, Tofu, Chicken","Fish, Tofu, Chicken, Cream, Spices, Yogurt, Honey",Halal,"Prepare Fish, Tofu, Chicken. Cook with Fish, Tofu, Chicken, Cream, Spices, Yogurt, Honey. Season and serve.","Calories: 605, Protein: 25g, Carbs: 46g, Fat: 15g"
Middle Eastern Mushrooms Salad,Middle Eastern,Snacks,Hard,34,40,4,"Mushrooms, Spinach, Lentils","Mushrooms, Spinach, Lentils, Cream, Flour, Sugar, Garlic","Contains nuts, Contains dairy","Prepare Mushrooms, Spinach, Lentils. Cook with Mushrooms, Spinach, Lentils, Cream, Flour, Sugar, Garlic. Season and serve.","Calories: 654, Protein: 23g, Carbs: 78g, Fat: 16g"
Thai Eggs Energy Balls,Thai,Snacks,Medium,47,114,1,"Eggs, Cheese, Shrimp","Eggs, Cheese, Shrimp, Onion, Cream, Spices, Sugar","Vegan, Kosher, Contains shellfish","Prepare Eggs, Cheese, Shrimp. Cook with Eggs, Cheese, Shrimp, Onion, Cream, Spices, Sugar. Season and serve.","Calories: 380, Protein: 24g, Carbs: 39g, Fat: 9g"
